id;direccion;latitud;longitud;nombre
237; ;-41475274400;-72948038600;Puerto Montt (Decima Region - CHL)
238; ;-41320493800;-73007004300;Puerto Varas Acc. SUR (Decima Region - CHL)
239; ;-41121133500;-73062515300;Frutillar CH (Decima Region - CHL)
240; ;-40905647600;-73150867200;Purranque CH (Decima Region - CHL)
241; ;-40573334200;-73125855600;Osorno (Decima Region - CHL)
248; ;-51625250400;-69253048900;Rio Gallegos - Terminal (Santa Cruz - ARG)
249; ;-46439453900;-67540125800;Caleta Olivia - Terminal (Santa Cruz - ARG)
250; ;-49982799300;-68908910800;Luis Piedra Buena (Santa Cruz - ARG)
251; ;-28059597200;-56014716600;Virasoro - Terminal (Corrientes - ARG)
253; ;-39086769800;-66522772000;Chelforo (Rio Negro - ARG)
255; ;-44046558000;-70600676500;Gobernador Costa (Chubut - ARG)
257; ;-45581848000;-69069650200;Sarmiento (Chubut - ARG)
259; ; ;;San Vicente - Terminal (Misiones - ARG)
265; ; ;;Languineo (Chubut - ARG)
268;Av.+Eugenio+Tello+487+Local+20 ;-43290473000;-65495587000;Gaiman (Chubut - ARG)
271;Chubut+S%2FN+entre+Rivadavia+y+Belgrano ;-44049590400;-70473607828;Jose de San Martin (Chubut - ARG)
277;Av.+7+Lagos+26 ;-40762836800;-71638391000;Villa La Angostura - Terminal (Neuquen - ARG)
278;RN+12+y+Av.+de+las+Am%C3%A9ricas ;-26820413300;-54956257900;Garuhape - Acceso (Misiones - ARG)
280; ;-30076491400;-57998602100;Cuatro Bocas - YPF (Corrientes - ARG)
292;Rivadavia+21614%2C+Ituzaingo%2C+Buenos+Aires ;-34659285861;-58664610000;Ituzaingo - Av. Rivadavia 21614 (Buenos Aires - ARG)
304; ; ;;Saenz Penia * FORM- cometa (Formosa - ARG)
328; ;-37107790700;-56880163600;Pinamar - Terminal (Buenos Aires - ARG)
329; ;-37286192100;-56994012600;Villa Gesell (Buenos Aires - ARG)
330; ;-37733724900;-57445798500;Mar Chiquita (Buenos Aires - ARG)
331; ;-37842164900;-57504895600;Santa Clara del Mar - Terminal (Buenos Aires - ARG)
332; ;-37128459900;-56906207800;Valeria del Mar (Buenos Aires - ARG)
335; ;-39312722600;-65760040300;Luis Beltran (Rio Negro - ARG)
336; ;-24221459300;-65271964100;Jujuy - Terminal (Jujuy - ARG)
337; ;-24257705200;-65212655100;Palpala (Jujuy - ARG)
338; ;-24386247900;-65114293100;Perico del Carmen (Jujuy - ARG)
340; ;-24668141700;-65051757400;General Guemes (Salta - ARG)
344; ;-25495633100;-64976014500;Metan - Terminal (Salta - ARG)
345; ;-25811578500;-64960334300;Rosario de la Frontera - Terminal (Salta - ARG)
350; ;-26836619700;-65195400400;Tucuman - Terminal (Tucuman - ARG)
351; ;-27491812500;-64865630900;Termas de Rio Hondo - Terminal (Santiago del Estero - ARG)
352; ;-27778844700;-64263040400;Santiago del Estero - Terminal (Santiago del Estero - ARG)
356; ;-28301868000;-64186506300;Loreto - Terminal (Santiago del Estero - ARG)
359; ;-29499527600;-63698387100;Villa Ojo de Agua (Santiago del Estero - ARG)
361; ;-30357101100;-63940858800;San Jose de la Dormida - Estacion de Servicio (Cordoba - ARG)
362; ;-30980265100;-64094241000;Jesus Maria (Cordoba - ARG)
363; ;-31423435600;-64174425600;Cordoba - Terminal (Cordoba - ARG)
365; ;-32191621100;-64255283500;Almafuerte (Cordoba - ARG)
366; ;-33114091100;-64351816200;Rio Cuarto - Terminal (Cordoba - ARG)
367; ;-33929429500;-64397896500;Vicu\xc3\xb1a Mackenna - Rotonda (Cordoba - ARG)
370; ;-34780424500;-58262157000;Florencio Varela - Terminal Princes Ber (Buenos Aires - ARG)
371; ;-34742224700;-58290271200;Quilmes (Calchaqui y 12 de Octubre) (Buenos Aires - ARG)
372; ;-35904220500;-64273898000;Castex - Acceso YPF KM 406 (La Pampa - ARG)
374;Av.+Ntra+Sra+de+Luj%C3%A1n+600%2C+Luj%C3%A1n%2C+Provincia+de+Buenos+Aires ;-34560280000;-59120150000;Lujan - Terminal (Buenos Aires - ARG) (Buenos Aires - ARG)
377; ;-36017009700;-59101380500;Las Flores - Terminal (Buenos Aires - ARG)
381;Colectora+Ruta+Nacional+14+KM+495%2C+Paso+de+libres ;-29714935674;-57214870550;Paso de los Libres - SHELL (Corrientes - ARG)
383; ;-38956113400;-68218199000;Plottier - Terminal (Neuquen - ARG)
385; ;-37123370100;-63667402300;Macachin - YPF (La Pampa - ARG)
390;Camping+Cumelen%2C+RN40+KM+1933 ;-41940876000;-71534605000;Gruta de la Virgen (Rio Negro - ARG)
391; ;-34356005300;-58797299300;Escobar - Parador (Buenos Aires - ARG)
394;+Ruta+22+y+Las+Heras+678 ;-39013079034;-68434942485;Senillosa - Agencia (Neuquen - ARG)
395; ;-40025511300;-70054321300;Collon Cura (Neuquen - ARG)
399; ;-38980596000;-67830748600;Allen - Agencia (Rio Negro - ARG)
425;San+Geronimo+1502%2C+Bell+Ville%2C+C%C3%B3rdoba ;-32610801403;-62696221433;Bell Ville - Parador San Cayetano (Cordoba - ARG)
